id_cliente,nome,numero,cpf,ticket
1,João Silva,12345678901,123.456.789-01,0001
2,Maria Oliveira,98765432100,234.567.890-12,0002
3,Pedro Santos,11122233344,345.678.901-23,0003
4,Ana Costa,55566677788,456.789.012-34,0004
5,Lucas Pereira,99988877766,567.890.123-45,0005
6,João Silva,12345678901,123.456.789-01,0006
7,Maria Oliveira,98765432100,234.567.890-12,0007
8,Pedro Santos,11122233344,345.678.901-23,0008
9,Ana Costa,55566677788,456.789.012-34,0009
10,Lucas Pereira,99988877766,567.890.123-45,0010
11,Beatriz Almeida,22233344455,678.901.234-56,0011
12,Felipe Rodrigues,33344455566,789.012.345-67,0012
13,Juliana Martins,44455566677,890.123.456-78,0013
14,Marcos Lima,55566677788,901.234.567-89,0014
15,Patrícia Souza,66677788899,012.345.678-90,0015
16,Beatriz Almeida,22233344455,678.901.234-56,0016
17,Felipe Rodrigues,33344455566,789.012.345-67,0017
18,Juliana Martins,44455566677,890.123.456-78,0018
19,Marcos Lima,55566677788,901.234.567-89,0019
20,Patrícia Souza,66677788899,012.345.678-90,0020
