id_cliente,nome,numero,cpf,ticket,cidade
1,João Silva,12345678901,123.456.789-01,1,São Paulo
1,João Silva,12345678901,123.456.789-01,2,São Paulo
2,Maria Oliveira,98765432100,987.654.321-00,3,Rio de Janeiro
2,Maria Oliveira,98765432100,987.654.321-00,4,Rio de Janeiro
3,Felipe Rodrigues,12345678902,123.456.789-02,5,Belo Horizonte
3,Felipe Rodrigues,12345678902,123.456.789-02,6,Belo Horizonte
4,Patrícia Souza,23456789012,234.567.890-12,7,Curitiba
4,Patrícia Souza,23456789012,234.567.890-12,8,Curitiba
5,Juliana Martins,34567890123,345.678.901-23,9,Porto Alegre
5,Juliana Martins,34567890123,345.678.901-23,10,Porto Alegre
6,Marcos Lima,45678901234,456.789.012-34,11,Fortaleza
6,Marcos Lima,45678901234,456.789.012-34,12,Fortaleza
7,Ana Costa,56789012345,567.890.123-45,13,Recife
7,Ana Costa,56789012345,567.890.123-45,14,Recife
8,Beatriz Almeida,67890123456,678.901.234-56,15,Salvador
8,Beatriz Almeida,67890123456,678.901.234-56,16,Salvador
9,Lucas Pereira,78901234567,789.012.345-67,17,Florianópolis
9,Lucas Pereira,78901234567,789.012.345-67,18,Florianópolis
10,Pedro Santos,89012345678,890.123.456-78,19,Vitória
10,Pedro Santos,89012345678,890.123.456-78,20,Vitória
11,Rafael Almeida,90123456789,901.234.567-89,21,Campo Grande
11,Rafael Almeida,90123456789,901.234.567-89,22,Campo Grande
12,Carla Fernandes,12345678903,123.456.789-03,23,Aracaju
12,Carla Fernandes,12345678903,123.456.789-03,24,Aracaju
13,Mariana Silva,23456789013,234.567.890-13,25,Natal
13,Mariana Silva,23456789013,234.567.890-13,26,Natal
14,Bruno Costa,34567890124,345.678.901-24,27,Maceió
14,Bruno Costa,34567890124,345.678.901-24,28,Maceió
15,Juliana Santos,45678901235,456.789.012-35,29,João Pessoa
15,Juliana Santos,45678901235,456.789.012-35,30,João Pessoa
16,Roberto Alves,56789012346,567.890.123-46,31,São Luís
16,Roberto Alves,56789012346,567.890.123-46,32,São Luís
17,Luciana Ferreira,67890123457,678.901.234-57,33,Terê
17,Luciana Ferreira,67890123457,678.901.234-57,34,Terê
18,Renato Silva,78901234568,789.012.345-68,35,Itajaí
18,Renato Silva,78901234568,789.012.345-68,36,Itajaí
19,Mônica Andrade,89012345679,890.123.456-79,37,Petrolina
19,Mônica Andrade,89012345679,890.123.456-79,38,Petrolina
20,Daniel Oliveira,90123456790,901.234.567-90,39,Caxias do Sul
20,Daniel Oliveira,90123456790,901.234.567-90,40,Caxias do Sul
21,Patricia Gomes,01234567891,012.345.678-91,41,Joinville
21,Patricia Gomes,01234567891,012.345.678-91,42,Joinville
22,Aline Ribeiro,12345678904,123.456.789-04,43,Palmas
22,Aline Ribeiro,12345678904,123.456.789-04,44,Palmas
23,Luciana Costa,23456789014,234.567.890-14,45,Boa Vista
23,Luciana Costa,23456789014,234.567.890-14,46,Boa Vista
24,Samuel Lima,34567890125,345.678.901-25,47,Belém
24,Samuel Lima,34567890125,345.678.901-25,48,Belém
25,Giovana Silva,45678901236,456.789.012-36,49,Macapá
