id_cliente,nome,numero,cpf,ticket
1,João Silva,12345678901,123.456.789-01,0001
1,João Silva,12345678901,123.456.789-01,0002
1,João Silva,12345678901,123.456.789-01,0003
2,Maria Oliveira,98765432100,234.567.890-12,0004
2,Maria Oliveira,98765432100,234.567.890-12,0005
2,Maria Oliveira,98765432100,234.567.890-12,0006
3,Pedro Santos,11122233344,345.678.901-23,0007
3,Pedro Santos,11122233344,345.678.901-23,0008
3,Pedro Santos,11122233344,345.678.901-23,0009
4,Ana Costa,55566677788,456.789.012-34,0010
4,Ana Costa,55566677788,456.789.012-34,0011
4,Ana Costa,55566677788,456.789.012-34,0012
5,Lucas Pereira,99988877766,567.890.123-45,0013
5,Lucas Pereira,99988877766,567.890.123-45,0014
5,Lucas Pereira,99988877766,567.890.123-45,0015
6,Beatriz Almeida,22233344455,678.901.234-56,0016
6,Beatriz Almeida,22233344455,678.901.234-56,0017
6,Beatriz Almeida,22233344455,678.901.234-56,0018
7,Felipe Rodrigues,33344455566,789.012.345-67,0019
7,Felipe Rodrigues,33344455566,789.012.345-67,0020
7,Felipe Rodrigues,33344455566,789.012.345-67,0021
8,Juliana Martins,44455566677,890.123.456-78,0022
8,Juliana Martins,44455566677,890.123.456-78,0023
8,Juliana Martins,44455566677,890.123.456-78,0024
9,Marcos Lima,55566677788,901.234.567-89,0025
9,Marcos Lima,55566677788,901.234.567-89,0026
9,Marcos Lima,55566677788,901.234.567-89,0027
10,Patrícia Souza,66677788899,012.345.678-90,0028
10,Patrícia Souza,66677788899,012.345.678-90,0029
10,Patrícia Souza,66677788899,012.345.678-90,0030
